p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
1.297058266467068e-9	0.8882311806347813	0.758	0.335	3.531889659589828e-5	14	FCER1G
1.3019709200268895e-9	1.185473258998091	0.79	0.453	3.54526681523322e-5	14	KDM6B
1.394310772396703e-9	1.222032841727609	0.581	0.235	3.796708233236222e-5	14	CASP10
1.3962160687208343e-9	1.2113054499815616	0.677	0.339	3.801896355126832e-5	14	JAK2
1.415482121716622e-9	1.3244016231374762	0.677	0.352	3.8543578174343614e-5	14	OSTC
1.429107343970682e-9	1.1693789233782446	0.645	0.307	3.891459297632168e-5	14	EXOC6
1.4557710959601615e-9	1.2709815945643683	0.565	0.234	3.96406469429952e-5	14	MTURN
1.507678860773469e-9	1.1481209639196757	0.806	0.435	4.105409537886157e-5	14	CNPY3
1.5223192041067476e-9	1.1879119405904843	0.726	0.361	4.1452751927826734e-5	14	TMEM39A
1.565681030523864e-9	1.6267881987375532	0.323	0.095	4.2633494461164826e-5	14	NCF1
1.6278796849195123e-9	1.4540825881244923	0.435	0.152	4.4327163820358325e-5	14	CASP2
1.719139198825773e-9	1.3543265366909067	0.887	0.719	4.681216038402581e-5	14	PPIB
1.721333622573424e-9	1.9067712276226552	0.258	0.065	4.687191454267434e-5	14	TUBGCP4
1.7349071850552955e-9	1.5247429060442117	0.403	0.136	4.7241522649055705e-5	14	C11orf54
1.751975996454297e-9	1.090624883235887	0.806	0.456	4.770630638345051e-5	14	GTPBP1
1.806406216640084e-9	0.8794537889360888	0.919	0.624	4.918844127910949e-5	14	MSL2
1.850699406725173e-9	1.5280811309960902	0.403	0.134	5.0394544845126466e-5	14	DROSHA
2.001157198732193e-9	0.8388605885154635	0.935	0.741	5.449151052147762e-5	14	LUC7L3
2.076089748821744e-9	1.1499756627772335	0.823	0.503	5.65319238604161e-5	14	GIT2
2.081820552646716e-9	1.2526453678779828	0.371	0.115	5.668797364857009e-5	14	USP46
2.128407523386952e-9	1.3003371659381486	0.629	0.272	5.7956536861826715e-5	14	TOGARAM1
2.145594896642421e-9	1.3679529669133812	0.548	0.225	5.842454903557312e-5	14	SMARCB1
2.1487510852746072e-9	0.7132759922373344	1	0.829	5.851049205202754e-5	14	UBE2D2
2.194617367673489e-9	0.8965189440592017	0.952	0.724	5.975943092174911e-5	14	TBL1XR1
2.352971975852185e-9	1.3493291217833316	0.548	0.224	6.4071426902455e-5	14	ZNF22
2.3605236127900436e-9	1.8060882113705743	0.339	0.102	6.427705797627289e-5	14	PCCB
2.363203780335781e-9	1.2398425213508313	0.629	0.282	6.435003893854331e-5	14	ENSG00000290856
2.3760980394789135e-9	1.4019592951709272	0.548	0.221	6.470114961501081e-5	14	ENSG00000290833
2.484104667823741e-9	1.4893557868222147	0.581	0.261	6.764217010484048e-5	14	DNAJC4
2.613853808774948e-9	0.7720325124527265	1	0.798	7.117523921294184e-5	14	SENP6
2.687828921340709e-9	0.9117720367647072	0.629	0.278	7.318958152810751e-5	14	PLEKHG2
2.710804896284909e-9	0.833296108906834	0.919	0.637	7.381521732583807e-5	14	ATP6V1H
